NOME PRODUTO;VALOR PRODUTO;LINK PRODUTO
Processador Intel Core I5, 3.30GHz, Quad Core, 4 Threads, HD Graphics 4600, OEM;R$ 161,05;https://www.kabum.com.br/produto/345298/processador-intel-core-i5-3-30ghz-quad-core-4-threads-hd-graphics-4600-oem
Processador Intel Core I5 4590, 3.7GHz, Cache 6MB, 1150, Sem Cooler;R$ 166,00;https://www.kabum.com.br/produto/304510/processador-intel-core-i5-4590-3-7ghz-cache-6mb-1150-sem-cooler
Processador Intel Core I5 3470, 2.9GHZ (3.6ghz Turbo), 4 cores, 4 threads, LGA 1155 Oem;R$ 288,00;https://www.kabum.com.br/produto/171126/processador-intel-core-i5-3470-2-9ghz-3-6ghz-turbo-4-cores-4-threads-lga-1155-oem
Processador Intel Core I5 14400, 14ª Geração 3.5 Ghz, 4.7 Ghz Turbo, Cache 20mb, LGA1700 - Bx8071514400;R$ 1.710,35;https://www.kabum.com.br/produto/524576/processador-intel-core-i5-14400-14-geracao-3-5-ghz-4-7-ghz-turbo-cache-20mb-lga1700-bx8071514400
Processador Intel Core I5 13400f, 2.5GHz (4.6GHz Turbo), Cache 20MB, 10 Núcleos, 16 Threads, LGA 1700, Sem Vídeo - Bx8071513400f;R$ 1.520,02;https://www.kabum.com.br/produto/421023/processador-intel-core-i5-13400f-2-5ghz-4-6ghz-turbo-cache-20mb-10-nucleos-16-threads-lga-1700-sem-video-bx8071513400f
Processador Intel Core I5 3570 3ª Geração, 3.40GHz, Cache 6MB, LGA 1155, OEM;R$ 129,10;https://www.kabum.com.br/produto/396707/processador-intel-core-i5-3570-3-geracao-3-40ghz-cache-6mb-lga-1155-oem
Processador Intel Core I5-12600K, 3.7GHz, Cache 20MB, LGA 1700;R$ 1.617,93;https://www.kabum.com.br/produto/277256/processador-intel-core-i5-12600k-3-7ghz-cache-20mb-lga-1700
Processador Intel I5-2400, 3.40ghz, Cache 6mb,1155, Oem - FCLGA;R$ 119,00;https://www.kabum.com.br/produto/465245/processador-intel-i5-2400-3-40ghz-cache-6mb-1155-oem-fclga
Processador Intel Core I5 2400 3.10ghz, LGA 1155, 2a Geração;R$ 150,00;https://www.kabum.com.br/produto/430118/processador-intel-core-i5-2400-3-10ghz-lga-1155-2a-geracao
Processador Intel I5-11400F, 2.6GHz, Cache 12MB, Hexa Core, 12 Threads, LGA 1200 - BX8070811400F;R$ 989,70;https://www.kabum.com.br/produto/169444/processador-intel-i5-11400f-2-6ghz-cache-12mb-hexa-core-12-threads-lga-1200-bx8070811400f
Processador Intel Core I5, 8500, 4.1ghz, LGA1151, 8 Geração Oem;R$ 645,06;https://www.kabum.com.br/produto/520361/processador-intel-core-i5-8500-4-1ghz-lga1151-8-geracao-oem
Processador Intel Core I5 11400, 2.6ghz, (4.4ghz Turbo), 11ª Geração, 6-cores 12-threads, Lga 1200 - Box;R$ 1.428,29;https://www.kabum.com.br/produto/463676/processador-intel-core-i5-11400-2-6ghz-4-4ghz-turbo-11-geracao-6-cores-12-threads-lga-1200-box
Processador Intel Core I5-11500 11ª Geração, 2.7GHz, Cache 12MB, Hexa Core, 4 Threads, LGA 1200 - BX8070811500;R$ 1.382,67;https://www.kabum.com.br/produto/391167/processador-intel-core-i5-11500-11-geracao-2-7ghz-cache-12mb-hexa-core-4-threads-lga-1200-bx8070811500
